,user_id,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,09-2019,06-2019
302,3606,2,0,0,0,0,0,0,0,0
303,1810,3,5,1,1,0,0,0,0,0
304,3611,3,0,3,4,3,0,0,0,0
305,3610,1,0,0,0,0,0,1,0,0
306,3607,1,0,0,0,0,0,0,0,0
307,3615,2,2,3,1,2,0,0,0,0
308,3619,3,2,3,1,1,0,0,0,0
309,3620,3,0,0,0,0,0,0,0,0
310,3617,3,4,3,0,0,0,0,0,0
311,3621,2,3,1,0,0,0,0,0,0
312,3625,2,1,5,0,1,0,0,0,0
313,3623,1,0,0,0,0,0,0,0,0
314,3291,5,1,0,0,0,0,0,0,0
315,3634,3,3,2,1,1,4,0,0,0
316,3637,3,3,7,2,2,0,0,0,0
317,3628,2,0,0,0,0,0,0,0,0
318,3543,3,4,16,11,0,0,0,0,0
319,3636,3,3,0,0,0,0,0,0,0
320,3641,3,4,5,1,1,0,0,0,0
321,3642,2,0,0,0,0,0,0,0,0
322,3646,1,0,0,0,0,0,0,0,0
323,3644,3,5,1,2,2,3,0,0,0
324,3648,1,0,0,0,0,0,0,0,0
325,3589,3,5,2,0,0,0,0,0,0
326,3649,2,0,0,0,0,0,0,0,0
327,3643,3,5,9,2,2,2,0,0,0
328,3651,2,1,0,0,0,0,0,0,0
329,3653,3,0,0,0,0,0,0,0,0
330,3654,1,1,4,1,2,0,0,0,0
331,3658,1,6,1,0,1,2,0,0,0
332,3659,1,0,0,0,0,0,0,0,0
333,3663,3,2,10,4,2,3,0,0,0
334,3660,2,5,7,1,1,0,0,0,0
335,3665,1,0,0,0,0,0,0,0,0
336,3640,3,3,0,0,0,0,0,0,0
337,3635,1,4,3,1,0,0,0,0,0
338,3666,3,3,10,1,0,0,0,0,0
339,3668,1,5,8,8,2,2,0,0,0
340,3670,3,0,0,0,0,0,0,0,0
341,3672,2,4,3,1,0,0,0,0,0
342,3675,2,0,0,0,0,0,0,0,0
343,3673,3,2,5,0,0,0,0,0,0
344,3251,4,2,4,0,0,0,0,0,0
345,3677,1,0,0,0,0,0,0,0,0
346,3678,1,0,0,0,0,0,0,0,0
347,3676,1,0,0,0,1,2,0,0,0
348,3682,2,0,0,0,0,0,0,0,0
349,3683,1,0,0,0,0,0,0,0,0
350,3684,2,0,0,0,0,0,0,0,0
351,3685,2,0,0,0,0,0,0,0,0
352,3686,1,0,0,0,0,0,0,0,0
353,3198,1,2,4,2,0,0,0,0,0
354,3687,1,0,0,0,0,0,0,0,0
355,2963,3,4,7,5,0,0,0,0,0
356,3689,1,0,0,0,0,0,0,0,0
357,3691,2,0,0,0,0,0,0,0,0
358,3692,1,4,2,2,1,2,0,0,0
359,3690,2,0,1,0,0,0,0,0,0
360,3695,1,0,0,0,0,0,0,0,0
361,2775,2,5,2,1,0,0,2,0,0
362,3697,1,0,0,0,0,0,0,0,0
363,3700,1,0,0,0,0,0,0,0,0
364,3696,3,1,5,2,2,1,0,0,0
365,3698,3,2,0,0,0,0,0,0,0
366,3703,1,0,0,0,0,0,0,0,0
367,3701,2,4,1,0,2,1,0,0,0
368,3708,1,4,0,0,0,0,0,0,0
369,2155,3,3,4,1,0,0,0,0,0
370,3655,3,2,0,0,1,0,0,0,0
371,3716,2,4,2,5,0,0,0,0,0
372,3711,1,7,5,2,2,3,0,0,0
373,1813,1,5,7,1,0,0,0,0,0
374,3719,1,0,0,0,0,0,0,0,0
375,3712,3,4,2,2,1,1,0,0,0
376,3709,1,6,0,0,0,0,0,0,0
377,3722,1,3,0,0,0,0,0,0,0
378,2594,3,5,11,2,0,0,0,0,0
